filename,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,potted plant,sheep,sofa,train,tv/monitor,red,n_red,yellow,n_yellow,green,n_green,cyan,n_cyan,blue,n_blue,magenta,n_magenta,emotion
theodore-gericault_dead,0.8220677949010974,0,0,0,0,0,0,0,0.01306656807219804,0,0,0,0.16486563702670454,0,0,0,0,0,0,0,0,0.7145354015763911,10,0,0,1.6805875334016773e-05,1,0,0,0.0006302203250256289,1,0.28481757222324927,7,
theodore-gericault_dead,0.8220677949010974,0,0,0,0,0,0,0,0.01306656807219804,0,0,0,0.16486563702670454,0,0,0,0,0,0,0,0,0.7145354015763911,10,0,0,1.6805875334016773e-05,1,0,0,0.0006302203250256289,1,0.28481757222324927,7,
theodore-gericault_dead,0.8220677949010974,0,0,0,0,0,0,0,0.01306656807219804,0,0,0,0.16486563702670454,0,0,0,0,0,0,0,0,0.7145354015763911,10,0,0,1.6805875334016773e-05,1,0,0,0.0006302203250256289,1,0.28481757222324927,7,
theodore-gericault_dead,0.8220677949010974,0,0,0,0,0,0,0,0.01306656807219804,0,0,0,0.16486563702670454,0,0,0,0,0,0,0,0,0.7145354015763911,10,0,0,1.6805875334016773e-05,1,0,0,0.0006302203250256289,1,0.28481757222324927,7,
theodore-gericault_dead,0.8220677949010974,0,0,0,0,0,0,0,0.01306656807219804,0,0,0,0.16486563702670454,0,0,0,0,0,0,0,0,0.7145354015763911,10,0,0,1.6805875334016773e-05,1,0,0,0.0006302203250256289,1,0.28481757222324927,7,
theodore-gericault_dead,0.8220677949010974,0,0,0,0,0,0,0,0.01306656807219804,0,0,0,0.16486563702670454,0,0,0,0,0,0,0,0,0.7145354015763911,10,0,0,1.6805875334016773e-05,1,0,0,0.0006302203250256289,1,0.28481757222324927,7,
theodore-gericault_dead,0.8220677949010974,0,0,0,0,0,0,0,0.01306656807219804,0,0,0,0.16486563702670454,0,0,0,0,0,0,0,0,0.7145354015763911,10,0,0,1.6805875334016773e-05,1,0,0,0.0006302203250256289,1,0.28481757222324927,7,
theodore-gericault_dead,0.8220677949010974,0,0,0,0,0,0,0,0.01306656807219804,0,0,0,0.16486563702670454,0,0,0,0,0,0,0,0,0.7145354015763911,10,0,0,1.6805875334016773e-05,1,0,0,0.0006302203250256289,1,0.28481757222324927,7,
theodore-gericault_dead,0.8220677949010974,0,0,0,0,0,0,0,0.01306656807219804,0,0,0,0.16486563702670454,0,0,0,0,0,0,0,0,0.7145354015763911,10,0,0,1.6805875334016773e-05,1,0,0,0.0006302203250256289,1,0.28481757222324927,7,
theodore-gericault_dead,0.8220677949010974,0,0,0,0,0,0,0,0.01306656807219804,0,0,0,0.16486563702670454,0,0,0,0,0,0,0,0,0.7145354015763911,10,0,0,1.6805875334016773e-05,1,0,0,0.0006302203250256289,1,0.28481757222324927,7,
